time,Direction,Lead_hours,Source_time,Speed
2022-01-27 09:00:00+00:00,NW,1,1643266800,13.85824
2022-01-27 12:00:00+00:00,NW,1,1643277600,12.96416
2022-01-27 15:00:00+00:00,NNW,1,1643288400,12.070079999999999
2022-01-27 18:00:00+00:00,WNW,1,1643299200,9.83488
2022-01-27 21:00:00+00:00,W,1,1643310000,4.91744
2022-01-28 00:00:00+00:00,SW,1,1643320800,4.91744
2022-01-28 03:00:00+00:00,WSW,1,1643331600,8.04672
2022-01-28 06:00:00+00:00,WSW,1,1643342400,8.04672
2022-01-28 09:00:00+00:00,SSW,1,1643353200,8.9408
2022-01-28 12:00:00+00:00,SSW,1,1643364000,12.96416
2022-01-28 15:00:00+00:00,SW,1,1643374800,16.98752
2022-01-28 18:00:00+00:00,WSW,1,1643385600,17.8816
2022-01-28 21:00:00+00:00,WSW,1,1643396400,16.98752
2022-01-29 00:00:00+00:00,WSW,1,1643407200,17.8816
2022-01-29 03:00:00+00:00,WSW,1,1643418000,21.01088
2022-01-29 06:00:00+00:00,WSW,1,1643428800,19.22272
2022-01-29 09:00:00+00:00,W,1,1643439600,22.799039999999998
2022-01-29 12:00:00+00:00,WNW,1,1643450400,21.90496
2022-01-29 15:00:00+00:00,NW,1,1643461200,24.140159999999998
2022-01-29 18:00:00+00:00,NW,1,1643472000,21.01088
2022-01-29 21:00:00+00:00,NNW,1,1643482800,16.98752
2022-01-30 00:00:00+00:00,NW,1,1643493600,13.85824
2022-01-30 03:00:00+00:00,NNW,1,1643504400,8.04672
2022-01-30 06:00:00+00:00,NNW,1,1643515200,4.91744
2022-01-30 09:00:00+00:00,SW,1,1643526000,4.02336
2022-01-30 12:00:00+00:00,S,1,1643536800,7.15264
2022-01-30 15:00:00+00:00,SSE,1,1643547600,8.04672
2022-01-30 18:00:00+00:00,SE,1,1643558400,12.070079999999999
2022-01-30 21:00:00+00:00,NW,1,1643569200,4.02336
2022-01-31 00:00:00+00:00,NW,1,1643580000,16.98752
2022-01-31 03:00:00+00:00,NW,1,1643590800,19.22272
2022-01-31 06:00:00+00:00,NW,1,1643601600,16.09344
2022-01-31 09:00:00+00:00,NW,1,1643612400,12.070079999999999
2022-01-31 12:00:00+00:00,NW,1,1643623200,12.96416
2022-01-31 15:00:00+00:00,WNW,1,1643634000,8.9408
2022-01-31 18:00:00+00:00,W,1,1643644800,11.176
2022-01-31 21:00:00+00:00,SW,1,1643655600,12.070079999999999
2022-02-01 00:00:00+00:00,W,1,1643666400,15.19936
2022-02-01 03:00:00+00:00,W,1,1643677200,16.98752
2022-02-01 06:00:00+00:00,WNW,1,1643688000,19.22272
2022-02-01 09:00:00+00:00,WNW,1,1643698800,20.1168
2022-02-01 12:00:00+00:00,WNW,1,1643709600,21.90496
2022-02-01 15:00:00+00:00,NW,1,1643720400,21.01088
2022-02-01 18:00:00+00:00,NW,1,1643731200,17.8816
2022-02-01 21:00:00+00:00,NW,1,1643742000,12.070079999999999
2022-02-02 00:00:00+00:00,NW,1,1643752800,8.04672
2022-02-02 03:00:00+00:00,WNW,1,1643763600,7.15264
2022-02-02 06:00:00+00:00,WNW,1,1643774400,11.176
2022-02-02 09:00:00+00:00,WNW,1,1643785200,7.15264
2022-02-02 12:00:00+00:00,W,1,1643796000,7.15264
2022-02-02 15:00:00+00:00,WSW,1,1643806800,7.15264
2022-02-02 18:00:00+00:00,WSW,1,1643817600,5.81152
2022-02-02 21:00:00+00:00,W,1,1643828400,4.91744
